elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
31.80,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,0.6710,0.0401,0
32.02,-0.0300,-0.0000,-0.0300,0.0000,-0.0291,0.0002,0.6700,0.0401,0
32.22,-0.1000,-0.0100,-0.1000,0.0000,-0.0838,0.0011,0.6600,0.0402,0
32.42,-0.1700,-0.0200,-0.1700,-0.0200,-0.1493,0.0002,0.6360,0.0405,0
32.62,-0.2500,-0.0100,-0.2500,0.0000,-0.2278,-0.0002,0.5983,0.0404,0
32.82,-0.3200,-0.0000,-0.3200,0.0000,-0.3012,-0.0000,0.5489,0.0404,0
33.03,-0.3600,0.0100,-0.3600,0.0000,-0.3490,0.0009,0.4753,0.0403,0
33.23,-0.3700,0.0300,-0.3700,0.0300,-0.3825,-0.0004,0.4057,0.0401,0
33.43,-0.3100,0.0400,-0.3100,0.0400,-0.3303,0.0009,0.3316,0.0401,0
33.64,-0.2200,0.0500,-0.2200,0.0500,-0.2437,-0.0002,0.2737,0.0400,1
33.84,-0.1100,0.0400,-0.1100,0.0400,-0.1263,0.0314,0.2372,0.0411,0
34.04,-0.0400,0.0300,-0.0400,0.0300,-0.0425,0.0306,0.2188,0.0477,0
34.24,-0.0100,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
34.44,-0.0100,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
34.64,-0.0100,-0.0000,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
34.84,-0.0100,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
35.05,-0.0100,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
35.26,-0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
35.46,-0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
35.66,-0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
35.86,-0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
36.06,-0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0503,0
36.26,-0.0000,0.0200,0.0000,0.0200,-0.0000,0.0200,0.2149,0.0531,0
36.46,-0.0000,0.0100,0.0000,0.0000,-0.0000,0.0000,0.2149,0.0555,0
